country,purchase_channel,brand,category,subcategory,color,material,base_price,discount_pct,final_price,gender,age,height_cm,weight_kg,bmi,body_shape,chest_bust_cm,waist_cm,hip_cm,purchase_year,purchase_month,purchase_day,purchase_hour,day_of_week,is_weekend,season,days_since_last_purchase,chest_waist_ratio,waist_hip_ratio,chest_hip_ratio,height_weight_ratio,body_surface_area,bmi_category,is_proportional,discount_amount,is_discounted,is_high_value,user_purchase_count,user_total_purchases,user_return_rate,user_avg_price,user_price_std,price_vs_user_avg,prev_purchased_size,prev_fit_feedback,prev_category,prev_brand,user_experience_level,brand_return_rate,brand_avg_price,category_return_rate,category_avg_price,subcategory_avg_price,brand_category_purchases,is_favorite_brand,size_numeric,user_usual_size,is_usual_size,gender_body_type,gender_category,age_group,height_category,weight_category,size_delta_height_cm,size_delta_chest_bust_cm,size_delta_waist_cm,size_delta_hip_cm
India,App,Van Heusen,Ethnicwear,Kurta,Red,Cotton,4864.97,5,4621.7215,Male,41,187.2,66.9,19.090373657681354,Apple,99.5,81.6,96.9,2024,8,7,18,2,0,3,0.0,1.219362745098039,0.8421052631578946,1.0268317853457172,2.798206278026905,1.9036809365420988,Normal,1,243.2485000000006,1,1,5,5,1.0,4621.7215,0.0,0.0,XS,Too Small,Ethnicwear,Van Heusen,Regular,0.660245183887916,2193.4145166374783,0.7192982456140351,3781.1896993620417,3747.954526162791,5,1,1,XS,1,Other,Male_Ethnicwear,Middle,Very Tall,Average,18.03478260869562,2.363043478260863,3.6978260869565105,0.4304347826086996
India,Marketplace,Under Armour,Activewear,Running Shorts,Olive,Wool,3729.71,20,2983.768,Female,22,150.6,75.6,33.33280424120252,Rectangle,95.7,74.6,97.9,2023,12,2,22,5,1,1,0.0,1.2828418230563003,0.7620020429009192,0.9775280898876404,1.992063492063492,1.7126207095726032,Obese,1,745.942,1,0,4,5,1.0,2983.768,0.0,0.0,L,Too Large,Activewear,Under Armour,Regular,0.7032374100719424,2776.533413669065,0.7184846505551927,1831.609422273024,1902.435391304348,4,1,4,L,1,Other,Female_Activewear,Young,Short,Heavy,-13.378846153846155,2.8230769230769255,0.6307692307692179,3.5826923076923123
India,Marketplace,U.S. Polo Assn.,Dresses,Maxi,Brown,Silk,3667.38,10,3300.6420000000003,Male,34,184.2,80.5,23.725568558935493,Plus,103.4,84.4,99.0,2024,3,8,22,4,0,2,365.0,1.2251184834123223,0.8525252525252526,1.0444444444444445,2.288198757763975,2.0354692768175564,Normal,1,366.73799999999983,1,1,1,1,0.0,3300.6420000000003,0.0,0.0,No History,No History,No History,No History,New,0.7243697478991596,2268.3449899159664,0.6848013816925734,2658.4379775474954,2715.0721222222223,1,0,3,M,1,Other,Male_Dresses,Adult,Very Tall,Heavy,15.779966666666667,8.626633333333345,8.193333333333342,4.760000000000005
India,Web,U.S. Polo Assn.,Bottoms,Shorts,Yellow,Synthetic,1585.26,25,1188.945,Male,32,164.8,83.1,30.597546894146472,Hourglass,101.0,81.9,94.2,2024,12,2,22,0,0,1,0.0,1.233211233211233,0.8694267515923567,1.0721868365180467,1.9831528279181712,1.9032276308046736,Obese,1,396.31500000000005,1,0,2,3,0.6666666666666666,1301.915,195.6697797310561,-112.97000000000004,XL,Too Large,Bottoms,U.S. Polo Assn.,Beginner,0.7243697478991596,2268.3449899159664,0.7043357933579336,1711.5967151752768,1700.053324808184,2,0,5,XL,1,Other,Male_Bottoms,Adult,Average,Heavy,-1.6326086956521522,6.5858695652173935,6.5086956521739125,-0.9760869565217405
India,Web,Biba,Bottoms,Jeans,Red,Leather,1940.57,35,1261.3705,Female,23,176.8,74.8,23.92969021928298,Apple,96.4,76.2,101.3,2024,12,2,23,0,0,1,365.0,1.2650918635170605,0.7522211253701876,0.951628825271471,2.363636363636364,1.9151338907552504,Normal,1,679.1995,1,0,1,1,1.0,1261.3705,0.0,0.0,No History,No History,No History,No History,New,0.6886326194398682,2368.830215815486,0.7043357933579336,1711.5967151752768,1745.3375795454544,1,0,4,L,1,Other,Female_Bottoms,Young,Tall,Average,8.307560606060605,-0.09698484848485123,-0.9196969696969575,4.61666666666666
India,Web,Nike,Tops,Shirt,Blue,Polyester,2221.61,60,888.6440000000001,Female,39,160.6,67.4,26.13176925260039,Petite,90.9,71.6,94.9,2025,3,9,6,6,1,2,0.0,1.2695530726256985,0.7544783983140146,0.9578503688092728,2.382789317507418,1.708882871881921,Overweight,1,1332.966,1,0,6,6,1.0,888.6440000000001,0.0,0.0,L,Too Large,Tops,Nike,Expert,0.6321243523316062,3016.233515544041,0.6960877862595419,1051.7262104007634,1085.1938608815428,6,1,4,L,1,F_Petite,Female_Tops,Adult,Average,Average,-5.339698412698425,-0.8253968253968225,-1.7142857142857224,1.568253968253984
UK,App,Forever 21,Activewear,Sports Bra,White,Denim,2181.72,25,1636.29,Unisex,37,161.6,71.1,27.22619105970003,Pear,93.0,73.1,96.8,2025,6,3,4,1,0,3,0.0,1.2722298221614228,0.7551652892561983,0.9607438016528926,2.272855133614627,1.7560257797825825,Overweight,1,545.4299999999998,1,0,7,8,1.0,1636.29,0.0,0.0,XS,Too Small,Activewear,Forever 21,Expert,0.6994328922495274,2390.885741965973,0.7184846505551927,1831.609422273024,1783.965807017544,7,1,1,XS,1,Other,Unisex_Activewear,Adult,Average,Average,-4.728301886792451,-0.9113962264150928,-1.9528301886792576,2.0188679245283083
India,Store,Under Armour,Dresses,A-Line,Navy,Wool,5522.54,40,3313.524,Unisex,36,155.1,45.0,18.70634406952774,Rectangle,78.0,62.2,85.0,2024,3,11,22,0,0,2,365.0,1.2621359223300972,0.7270588235294118,0.9176470588235294,3.4466666666666663,1.4033797171100733,Normal,1,2209.016,1,1,1,1,0.0,3313.524,0.0,0.0,No History,No History,No History,No History,New,0.7032374100719424,2776.533413669065,0.6848013816925734,2658.4379775474954,2479.1718840206186,1,0,1,XS,1,Other,Unisex_Dresses,Adult,Short,Light,-8.327419354838725,-16.41614516129033,-13.137096774193537,-9.464516129032262
India,App,FabIndia,Footwear,Loafers,Pink,Cotton,6437.9,20,5150.32,Unisex,25,162.4,76.0,28.81652066296197,Rectangle,95.6,75.0,99.1,2024,1,28,5,6,1,1,0.0,1.2746666666666666,0.756811301715439,0.9646821392532796,2.136842105263158,1.8129547661585124,Overweight,1,1287.58,1,1,5,5,1.0,5150.32,0.0,0.0,10,Too Small,Footwear,FabIndia,Regular,0.7055555555555556,2134.0007064814813,0.6825726141078838,4824.713633125864,5332.064838912133,5,1,-1,Other,1,Other,Unisex_Footwear,Young,Average,Heavy,-3.992452830188654,-0.303773584905656,-1.3528301886792349,2.3056603773584783
Canada,Web,Biba,Bottoms,Chinos,Beige,Denim,2651.19,40,1590.714,Female,24,160.5,79.9,31.016779728457607,Pear,97.7,76.4,100.7,2023,10,12,19,3,0,4,365.0,1.2787958115183244,0.7586891757696127,0.9702085402184708,2.008760951188986,1.8361920659471371,Obese,1,1060.476,1,0,1,1,1.0,1590.714,0.0,0.0,No History,No History,No History,No History,New,0.6886326194398682,2368.830215815486,0.7043357933579336,1711.5967151752768,1643.655101744186,1,0,1,XS,1,Other,Female_Bottoms,Young,Average,Heavy,-7.9924393939394065,1.203015151515146,-0.7196969696969546,4.016666666666666
