order_id,user_id,purchase_datetime,country,purchase_channel,brand,category,subcategory,color,material,base_price,discount_pct,final_price,gender,age,height_cm,weight_kg,bmi,body_shape,chest_bust_cm,waist_cm,hip_cm,size_system,recommended_size,purchased_size,fit_feedback,fit_score,returned,return_reason
ORD250809572,U43978,2024-06-01 01:53:34,India,App,Roadster,Tops,Henley,Blue,Cotton,1359.51,25,1019.63,Male,23,166.3,83.5,30.2,Hourglass,101.3,82.2,94.7,Alpha,M,M,Perfect,5,0,None
ORD250804765,U33954,2025-07-06 06:49:33,UK,Web,W,Outerwear,Cardigan,Maroon,Wool,3657.59,40,2194.55,Male,24,170.9,93.0,31.8,Plus,105.8,85.8,98.5,Alpha,M,XS,Too Small,1,1,Size too small
ORD250810182,U73317,2025-06-26 01:05:34,India,App,Nike,Outerwear,Blazer,Yellow,Leather,5289.13,40,3173.48,Female,47,154.8,70.3,29.3,Pear,92.3,72.4,95.5,Alpha,S,S,Perfect,5,0,None
ORD250802447,U13991,2025-07-22 01:36:32,India,Store,Adidas,Activewear,Tank,Green,Silk,4328.24,20,3462.59,Female,31,157.3,56.7,22.9,Athletic,84.7,67.0,89.2,Alpha,XS,S,Slightly Loose,3,1,Fit was slightly loose
ORD250805611,U30633,2024-02-14 18:51:33,India,App,Roadster,Activewear,Track Pants,Purple,Blends,3084.14,70,925.24,Female,31,170.6,77.7,26.7,Pear,97.0,76.3,101.2,Alpha,S,S,Perfect,5,0,None
ORD250807528,U86750,2024-12-25 21:04:33,India,Web,W,Footwear,Running Shoes,Purple,Linen,6293.83,20,5035.06,Unisex,35,163.3,65.2,24.4,Pear,90.0,71.0,94.4,Numeric,11,12,Slightly Loose,3,1,Fit was slightly loose
ORD250801133,U92685,2023-09-20 01:52:32,UK,Store,U.S. Polo Assn.,Bottoms,Leggings,Navy,Denim,2560.44,25,1920.33,Female,34,159.1,56.0,22.1,Inverted Triangle,84.5,66.9,89.2,Alpha,XS,M,Too Large,1,1,Size too large
ORD250805734,U53810,2025-06-23 05:42:33,India,Web,Under Armour,Tops,Henley,Grey,Denim,1898.32,40,1138.99,Male,32,170.1,82.1,28.4,Apple,101.2,82.3,95.3,Alpha,M,L,Slightly Loose,3,1,Fit was slightly loose
ORD250808692,U52323,2024-11-24 19:02:34,UAE,Marketplace,Van Heusen,Tops,Sweatshirt,Red,Denim,1491.64,25,1118.73,Female,47,172.0,74.7,25.3,Rectangle,95.7,75.5,100.2,Alpha,S,S,Perfect,5,0,None
ORD250802246,U95306,2025-03-12 23:16:32,USA,App,Allen Solly,Tops,T-Shirt,Navy,Denim,1015.62,50,507.81,Male,29,179.8,79.2,24.5,Hourglass,101.9,83.2,97.3,Alpha,M,XL,Too Large,1,1,Size too large
ORD250804021,U21826,2024-02-05 02:38:33,USA,Web,H&M,Ethnicwear,Anarkali,Brown,Denim,7689.26,0,7689.26,Male,20,161.8,84.3,32.2,Pear,101.2,82.0,93.9,Alpha,M,M,Perfect,5,0,None
ORD250800256,U86609,2025-04-30 00:41:32,India,Web,Van Heusen,Accessories,Scarf,Beige,Blends,2739.06,15,2328.2,Male,47,162.8,97.0,36.6,Athletic,107.1,86.4,98.0,Alpha,L,L,Perfect,5,0,None
