iter	Passed	Remaining
0	241	120578
1	288	71844
2	335	55527
3	385	47792
4	429	42487
5	478	39405
6	521	36702
7	567	34925
8	616	33640
9	659	32306
10	702	31229
11	745	30308
12	791	29659
13	832	28903
14	874	28279
15	916	27729
16	959	27252
17	1002	26855
18	1046	26480
19	1089	26140
20	1133	25852
21	1178	25596
22	1222	25354
23	1264	25085
24	1308	24861
25	1352	24654
26	1393	24418
27	1440	24275
28	1484	24105
29	1526	23913
30	1567	23721
31	1610	23553
32	1655	23434
33	1698	23278
34	1741	23139
35	1783	22988
36	1825	22845
37	1868	22718
38	1913	22617
39	1960	22547
40	2005	22447
41	2062	22494
42	2107	22402
43	2155	22333
44	2199	22238
45	2248	22190
46	2294	22116
47	2339	22029
48	2383	21936
49	2426	21838
50	2473	21777
51	2517	21693
52	2558	21577
53	2599	21472
54	2645	21408
55	2690	21329
56	2732	21240
57	2781	21195
58	2829	21151
59	2880	21120
60	2928	21073
61	2976	21030
62	3030	21023
63	3075	20955
64	3118	20872
65	3163	20800
66	3204	20708
67	3248	20636
68	3292	20566
69	3337	20503
70	3388	20473
71	3436	20426
72	3484	20379
73	3528	20312
74	3572	20245
75	3619	20195
76	3666	20142
77	3713	20088
78	3761	20044
79	3809	20001
80	3861	19975
81	3910	19935
82	3956	19875
83	4000	19810
84	4041	19734
85	4087	19677
86	4130	19607
87	4172	19535
88	4215	19468
89	4261	19414
90	4306	19353
91	4353	19307
92	4405	19280
93	4457	19252
94	4504	19202
95	4548	19140
96	4589	19066
97	4630	18995
98	4676	18940
99	4720	18880
100	4762	18814
101	4809	18764
102	4854	18712
103	4899	18657
104	4944	18601
105	4992	18556
106	5039	18510
107	5085	18458
108	5131	18408
109	5173	18341
110	5218	18288
111	5267	18249
112	5316	18206
113	5360	18150
114	5405	18097
115	5447	18034
116	5489	17971
117	5529	17900
118	5572	17840
119	5613	17777
120	5655	17714
121	5700	17660
122	5742	17600
123	5782	17534
124	5822	17467
125	5863	17403
126	5903	17337
127	5945	17277
128	5987	17220
129	6032	17168
130	6080	17128
131	6128	17085
132	6176	17042
133	6219	16987
134	6261	16929
135	6306	16877
136	6347	16817
137	6394	16773
138	6435	16715
139	6480	16663
140	6520	16601
141	6562	16545
142	6605	16491
143	6648	16436
144	6691	16382
145	6735	16330
146	6778	16276
147	6822	16225
148	6866	16176
149	6906	16115
150	6953	16071
151	6996	16019
152	7037	15961
153	7076	15898
154	7113	15834
155	7152	15772
156	7190	15709
157	7233	15656
158	7272	15596
159	7356	15632
160	7420	15625
161	7473	15593
162	7515	15537
163	7559	15487
164	7601	15434
165	7644	15380
166	7684	15323
167	7726	15268
168	7766	15210
169	7811	15162
170	7865	15133
171	7906	15076
172	7945	15018
173	7989	14968
174	8029	14912
175	8069	14855
176	8109	14798
177	8149	14742
178	8191	14689
179	8233	14638
180	8275	14585
181	8322	14542
182	8367	14494
183	8410	14443
184	8453	14394
185	8492	14336
186	8534	14284
